Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC073,ASA,ASA071IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,7,-26.179,-27.074,-0.895,yes,no,yes,78.8,,no,no ,,no,no,no,1.07,no,
ENC074,ASA,ASA072IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,18,-27.29,-28.344,-1.054,yes,no,yes,74.7,,no,no ,,no,no,no,1.24,no,
ENC075,ASA,ASA073IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,14,-30.055,-30.045,0.01,no,no,no,,,no,no ,,no,no,no,0.81,no,yes
ENC076,ASA,ASA074IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,2,,,,no,no,yes,,,no,no ,,no,no,no,,no,
ENC077,ASA,ASA075IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Jokonmon,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC078,ASA,ASA076IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC079,ASA,ASA077IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,3,,,,no,no,yes,,,no,no ,,no,no,no,,no,
ENC080,ASA,ASA078IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,73,-26.236,-25.053,1.183,no,no,no,,,no,no ,,no,no,no,0.89,yes,yes
ENC081,ASA,ASA079IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Jar,ceramic powder,49,-26.714,-25.678,1.036,no,no,no,,,no,no ,,no,no,no,0.71,no,
ENC082,ASA,ASA080IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Jokonmon,Cooking vessel,ceramic powder,16,-29.312,-29.521,-0.209,no,no,no,,,no,no ,,no,no,no,1.14,no,
ENC083,ASA,ASA081IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,55,-25.632,-24.295,1.337,no,no,no,,,no,no ,,no,no,no,0.56,no,
