"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"Beta-109052","№4　SI-07　№241"
"Beta-109053","№5　SI-07　№256"
"Beta-109054","№6　SI-07　№257"
"Beta-109335","1997年度　NK97　№1　Ⅴ区-A"
"beta-109385","2･3区"
"Beta-109386","不明"
"Beta-109418","Ⅹ-O"
"Beta-110013","第26図E-F西"
"Beta-110015","SF1"
"Beta-110016","SF2"
"Beta-110017","SE3"
"Beta-110886","3Q021グリッド"
"Beta-110887","試料名:№1　D区SX01底部"
"Beta-110888","試料名:№2　A区　SN-2 カマド内"
"Beta-110891","畠遺構,畝上面"
"Beta-111770","E-13gr"
"Beta-111835","海抜　＋0.05"
"Beta-111836","海抜　-0.65"
"Beta-111842","SI403,11F-15　床直上"
"Beta-111843","SI403,11G-10　周堤B層"
"Beta-111844","SI403,12F-17,18　5層"
"Beta-111845","SI403,12G-7　5d層"
"Beta-111846","SI120,6G-13-2　1層"
"Beta-111847","SI120,6G-20　周堤B層"
"Beta-111848","SI120,6G20　P38,39覆土上部"
"Beta-111849","P1400,7C-7　1層"
"Beta-111850","SI117P18　覆土"
"Beta-111851","P1092 12B-19-2　覆土1層"
"Beta-111852","P976,10E3　覆土下部(下)"
"Beta-111854","SK03"
"Beta-111855","SK03"
"Beta-111856","SK07"
"Beta-111857","SQS12"
"Beta-111858","SN13"
"Beta-111859","SN70"
"Beta-111860","SKF93"
"Beta-111861","SI95"
"Beta-111862","SK96"
"Beta-111863","SKF99"
"Beta-111864","SI107"
"Beta-111865","SK112"
"Beta-111866","SX105"
"Beta-111867","SK02"
"Beta-111868","SK05"
"Beta-111869","SN09"
"Beta-111870","SI04　炉"
"Beta-111871","SI04　床面"
"Beta-111872","試料名:№4　鏃直下"
"Beta-111874","試料名:№1　3層下部〜4層"
"Beta-111885","A06-17グリッド　河6,Ⅲf層"
"Beta-112798","D3-b2グリッド　木炭層"
"Beta-112799","D3-b2グリッド　木炭層"
"Beta-112800","D3-b2グリッド　木炭層"
"Beta-112801","SI-1"
"Beta-112802","SK-1"
"Beta-112821","沢地形湧水源最低面暗青灰色砂泥層中, Walnut 1"
"Beta-112827","K-ネグリッド"
"beta-112830","H-1区12層"
"Beta-112890","Cb-2(1)　Ⅱa層, SHIRA-18"
"Beta-112891","Cb-3(1)　Ⅱa層, SHIRA-19"
"Beta-112892","Cb-3(2)　Ⅱa層, SHIRA-20"
"Beta-112893","Cb-4(1)　Ⅱa層, SHIRA-21"
"Beta-112923","C地区　LF-39焼土中, K15-1"
"Beta-112924","C地区　H-15床面直上, K15-2"
"Beta-112926","LH-29床面, K17-2"
"Beta-112928","LH-35床面, K17-4"
"Beta-112930","LH-42床面, K17-6"
"Beta-113297","SI02"
"Beta-113340","103次　8層"
"Beta-113341","103次　16層"
"Beta-113342","不明"
"Beta-113343","不明"
"Beta-113344","不明"
"Beta-113346","第4号土坑　最下層"
"Beta-113347","不明"
"Beta-113348","不明"
"Beta-113350","不明"
"Beta-113351","不明"
"Beta-113584","Ⅲ層　グリッド1510, 32359"
"Beta-113585","BP15　Ⅲ層　グリッド1912, 20859"
"Beta-113586","BP7　Ⅱ3層　グリッド1913, 19562"
"Beta-113588","Ⅳ２層　グリッド1513, 33730"
"Beta-113916","試料名:№2　4SI012"
"Beta-113917","試料名:№1　4SI029"
"Beta-113923","Q-85区　Ⅴb層①, KS4B1"
"Beta-113924","P-84区　Ⅴb層②, KS4B2"
"Beta-113925","N-83区　盛土26層③, KS4B3"
"Beta-113926","O-80区　盛土13層④, KS4B4"
"Beta-113927","X-10, GP-1008　床, KS4B5"
"Beta-113928","X-10, GP-1008　床, KS4B6"
"Beta-113930","X-10, GP-1009　床, KS4B8"
"Beta-113932","X-10, GP-1010　床, KS4B10"
"Beta-113933","X-10, GP-1010　４層南側20cm, KS4B11"
"Beta-113934","X-10, GP-1011　床, KS4B12"
"Beta-113936","X-10, GP-1013　床, KS4B14"
"Beta-113937","X-10, GP-1014　床, KS4B15"
"Beta-113944","LP-8　４層, KS4B22"
"Beta-113948","5B-PⅣ"
"Beta-113949","SN33"
"Beta-113950","SI13"
"Beta-113951","SI22"
"Beta-113952","SN01"
